Address,WinRate
2HWT2KLLdN2wxYTqdSuko5SBzg2SEJASgV4GE2tD7TML,5 / 8 = 62.50
Fg4j6C3X6bjRox1Jb7ZDU4xTsbemyVHX41L8w3LQeHdZ,15 / 31 = 48.39
GdX5UHTjSNo9m1Da4xVMHyQ4buUmaZNCgu4AHJf6Q1jd,14 / 28 = 50.00
DABnZUmVkeWpFVaNS9txqJrQosxh3fic5n57MTHbnNWM,24 / 60 = 40.00
GszNewAdRKJ7AygGWbtuEksdzTpP7sEp7SpuC4r83UPQ,6 / 11 = 54.55
5wQaABAbgA52cBks6zqXmk9nFftZgy18f78im6UxXhNU,18 / 48 = 37.50
3P9itL3XUhY7GFkP2j1Vvfn4W6SvP6c3ji3LNcdp3E7X,5 / 22 = 22.73
B4k4VLeGGU5tQcSmzNiqsgw2WQknykHWM3HNFVioCPEn,21 / 63 = 33.33
5Jks1htHq6CcHRsXWJhJTaafza3v6r9f7k6521S6ZMhi,4 / 10 = 40.00
4guRujtSkfCsKfHu6jJQE1mMfZLB6r3GP1hNt4f1eFhQ,14 / 37 = 37.84
6sd8jj9J7vJJ2ScNKePxCcLgBY3usksRJ7NmFrufYP6t,7 / 14 = 50.00
