Token Name,Buy or Sell,Timestamp,SOL Balance,Token Balance,Description,Signature,USD Balance
HERO,Buy,Thu  15 Aug 2024 08:45:19 GMT,3.275868389,131904.614285714,DCAKuApAuZtVNYLk3KTAVW9GLWVvPbnb5CxxRRmVgcTr swapped 131904.614285714 HERO for 3.275868389 SOL,3VPZuUzJJtoKVSsdZkUgX93RtWFmC8H39gwiqVsffcSwQMxVFvMmk8R9aPcxTKRxw3xk3ikWzMgUbDCaToukj1SY,453.58335342501266
DEFI,Buy,Thu  15 Aug 2024 17:46:34 GMT,0.167479575,602318.595273,7KP1ELJtvRGciqnitwuLZZfaMkvy9rH2cniLNNxBt7rj swapped 602318.595273 DEFI for 0.167479575 SOL,2jV7Xipg8NbfcpkoEJtghJmqf1irKrvgE47PYcpysfG9aKqeNhU5HfvizLunNRcTuZTK2Rk1Fw37fswQPLSCgYRJ,23.18956021364627
Yukie,Sell,Wed  14 Aug 2024 03:25:00 GMT,1.98,351844.860379,Hvts7WUNA9k72kkVt2YP6z1R85U3C637XqfCNoaYSy3W swapped 1.98 SOL for 351844.860379 Yukie,5EcpJ5sDH3PZf6tsVbUBKJDLU9nX3Bz7YDKtZZp5yuPsVDXqmBCza2KucbAvU3sjqScVaMfXKXygb7TFkqMKANei,274.1547990136685
KGB,Buy,Fri  16 Aug 2024 05:25:04 GMT,0.551872106,6144558.859865,sCMNrLxCr3k6mYrvQ4FTZ3bZm9f7S1hmkrBUHqKcKiA swapped 6144558.859865 KGB for 0.551872106 SOL,5JYyiJ8EPLsxZnbBbr6qu2u1DKSEumc6WRtanp8CVaReU4mtpBN1rY6UQcqM9ELsseMzCGD7dRe29AnKQmw7CWH3,76.41332641498988
prerich,Buy,Tue  13 Aug 2024 00:19:40 GMT,6.150314516,21300404.877459,FiP7emmjsNFLy1EEScwS3XF2LrrZ8hLYMm3wLkUU4VXV swapped 21300404.877459001 prerich for 6.150314516 SOL,EnySdZu4Rjq9drUUmrRgPKBokj39hDw95MeRaMvL8yC2XnybvnUCvsLeMatmC2zUvrk9HaGTSXAi4Z3mQdq26c6,851.584969699408
TRUTH+,Sell,Mon  12 Aug 2024 03:30:38 GMT,3,87380917.172117,BeetnHEioWSdgiDHG3PKkMeJsX2SeVbTtDfFDdB6AxW1 swapped 3 SOL for 87380917.172116995 TRUTH+,2jbtgyho2UGdPBecY32VnmYHRdz1LjQ8PieHK7AnFuZFz8ESQrcc3XVjPRDCagRP93mw1HeZ9iZisabSvYMpSdwh,415.3860591116189
dialed,Sell,Tue  20 Aug 2024 00:38:32 GMT,4.95,5712464.848767,2JN3NLV9w7PyPGWqbhti5HEkBHktnzyink3zBcDpZcLE swapped 4.95 SOL for 5712464.848767 dialed,55q5G15iqLfL71ckAUTRftKZwMRsHm4EY2zL74o8kGLHMzDKFm4msCnj3FVMbViM4s6sucGgs6mHBwVikMMXQ3Z6,685.3869975341713
DEFI,Buy,Thu  15 Aug 2024 17:44:13 GMT,0.933101324,602318.595272,7KP1ELJtvRGciqnitwuLZZfaMkvy9rH2cniLNNxBt7rj swapped 602318.595272 DEFI for 0.933101324 SOL,4Weoif9FcduedVbGCwm51MR7dcEVG29EVR8xPXEqrKQA1tz2k9J2Hg1gPezZEp4Y6h5ytxuYPWRVCJQ1VALrWf9c,129.19909390939796
HERO,Buy,Thu  15 Aug 2024 03:45:38 GMT,3.337584341,131904.614285714,DCAKuApAuZtVNYLk3KTAVW9GLWVvPbnb5CxxRRmVgcTr swapped 131904.614285714 HERO for 3.337584341 SOL,cbBwzYodw3TXRpUP9GT9QraXPo1JhJmt78rsVKB9dASfgw87P6fP3MTbutRG5dzuqEbbEJntR8dMX9M29RChABA,462.1286687868799
CHANGO,Sell,Wed  14 Aug 2024 03:00:46 GMT,0.99,653518.517305,Hvts7WUNA9k72kkVt2YP6z1R85U3C637XqfCNoaYSy3W swapped 0.99 SOL for 653518.517305 CHANGO,3Wzwu7MfND6x7NjSzRYUwHBK8Jjy1n2L3kWorYjQHug3yuQAvpDgCweuq5frHMLttECSi7aYtLRZeJRVBrvmyU72,137.07739950683424
EWT,Buy,Tue  13 Aug 2024 00:15:26 GMT,0.783078053,12525720.035484754,FiP7emmjsNFLy1EEScwS3XF2LrrZ8hLYMm3wLkUU4VXV swapped 12525720.035484754 EWT for 0.783078053 SOL,2ZhXdQLCevwJekHCzAjBagiR7vgQgBmZ6yRRfTu6Nnq6vaZeUoUM69YL4RKYwY8owqSwAUq1rcmtbgRSFGxysZvW,108.42656880415649
